Grado,0,Mostro,Dim.,Family,Fiamma,Bang,Vento,Gelo,Fulmine,Elektron,Pyro,Respiro caldo,Respiro gelido,Donk,Morte rapida,Illusyo,Veleno,Confusione,Inazione,Paralisi,Sonno,Sag,Sap,Velocimeno,Dim,Boccachiusa,Danza ipnotica,Attacco,Rubamagia,Contromagia,Abiliterator,Sabotaggio magico
S,357,Capitan Crow,1,Zombie,-25%,,,,,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
S,358,Nonno Slime,2,Slime,,,,,^50%,-25%,,,,,Immune,,Immune,Immune,^50%,Immune,Immune,^50%,,-25%,,,,,-25%,^50%,,
S,359,Cancerio,3,Slime,Reflect,Reflect,Reflect,Reflect,Reflect,,Reflect,,,,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,,-25%,,,,,-25%,^50%,,
S,360,Piovron,3,Nature,,^50%,,,,,-25%,,-25%,,Immune,,Immune,Immune,Immune,Immune,Immune,,,-25%,^50%,,,,,Immune,,
S,361,Dholmagus,1,Beast,^50%,^50%,Immune,-25%,-25%,Reflect,,,,,Immune,,,,^50%,,-25%,-25%,,^50%,,,,,,,,
S,362,Cybercentauro,1,Material,Immune,,-25%,,,,,,,^50%,Immune,,Immune,-25%,Immune,,^50%,^50%,-25%,,,,,Immune,,,,
S,363,Slime Blaster,3,Slime,Immune,,,Immune,^50%,-25%,,-25%,-25%,,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,,-25%,,,,,-25%,^50%,,
S,364,Re Godwyn II,3,Zombie,-25%,Immune,,Immune,,Immune,,,Immune,,Immune,-25%,^50%,Immune,Immune,Immune,Immune,,^50%,,-25%,,,,,,,
S,365,Rovina,3,Material,,,-25%,,,,,,,Immune,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,-25%,,,,,,,,,
SS,366,Prezioslime,2,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
SS,367,Dragonlord,2,Dragon,,,,,,,^50%,Immune,Immune,-25%,Immune,^50%,-25%,Immune,Immune,^50%,Immune,,-25%,,^50%,,,,,,,
SS,368,Leopold,1,Nature,,^50%,,,-25%,Absorb,-25%,,,,Immune,,-25%,-25%,-25%,^50%,-25%,Immune,,-25%,^50%,,,,,,,
SS,369,Psaro,2,Material,,-25%,-25%,,,,,,,^50%,Immune,,Immune,^50%,Immune,Immune,Immune,^50%,-25%,,,Immune,,,,,,
SS,370,Robbin's Lady,2,Beast,^50%,,Immune,-25%,,Immune,,,Immune,Immune,Immune,,,^50%,Immune,^50%,-25%,-25%,,^50%,,,,,,,,
SS,371,Principe Latrum,1,Demon,,,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,Immune,,,Immune,
SS,372,Nimzo,2,？？？系,,-25%,^50%,,,Absorb,,,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,,,,,^50%,-25%,,
SS,373,Xiphos,3,Dragon,,,,,,Immune,^50%,,,-25%,Immune,^50%,^50%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,Immune,,,,
SS,374,Sliamante,1,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
SS,375,Orochi,3,Dragon,,,,-25%,,,^50%,Immune,,-25%,Immune,^50%,^50%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,376,Trode,1,Nature,,^50%,,,,,-25%,Immune,,,Immune,,,,-25%,^50%,,,,-25%,^50%,,,,,Immune,Immune,
SS,377,Pruslas,3,Beast,^50%,,,-25%,,,,,,Immune,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,,^50%,,,,,,,,
SS,378,Traumatizzator,2,Material,,,-25%,,Immune,,,,,^50%,Immune,,Immune,^50%,Immune,Immune,Immune,^50%,-25%,,,,,Immune,,,,
SS,379,Scruffy,1,Demon,,,,^50%,-25%,Absorb,,,,,Immune,,,^50%,,-25%,,,,^50%,-25%,,Immune,,,,,
SS,380,Prof Briskod,2,Zombie,-25%,,,,-25%,Absorb,,,,,,,Immune,Immune,Immune,Immune,Immune,,^50%,,,,,,,,,
SS,381,Zoma,1,？？？系,,-25%,^50%,,-25%,,,,,,Immune,^50%,,,-25%,,,-25%,^50%,,,^50%,,,^50%,Immune,,
SS,382,Re Metaliquislime,3,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,^50%,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
SS,383,Barbarus,2,Dragon,,,,,-25%,Absorb,^50%,,Immune,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,384,Divino,1,Nature,,^50%,,,Immune,-25%,-25%,,,,Immune,,,,-25%,^50%,,,Immune,^50%,^50%,,,,,,,
SS,385,Ovattino,1,Beast,^50%,,,-25%,Immune,,,,,,Immune,,,,^50%,,-25%,-25%,,^50%,Immune,,,,,,,
SS,386,Carro Slival,3,Material,,,-25%,,,Immune,,,,Immune,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,-25%,,,,,,,,,
SS,387,Moltomort,2,？？？系,,-25%,^50%,,,,,Immune,Immune,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,,,,-25%,^50%,-25%,,
SS,388,Re Babbuino,3,？？？系,^50%,-25%,^50%,,^50%,^50%,^50%,^50%,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,,,,,^50%,-25%,,
SS,389,Dragriphon,2,Dragon,,,,,Absorb,-25%,^50%,Immune,,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,390,Yggdrasil,3,Nature,,^50%,Immune,,,,-25%,,,,Immune,,Immune,Immune,Immune,Immune,Immune,,,-25%,^50%,,,,,,,
SS,391,Sagitta,3,Material,,Immune,-25%,,Immune,,,,,^50%,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,-25%,,,,,,,,-25%,
SS,392,Granvert,2,？？？系,,-25%,^50%,,,,,Reflect,Reflect,,Immune,,Immune,^50%,Immune,Immune,Immune,-25%,^50%,,,,-25%,,^50%,-25%,,
SS,393,Gadis,3,？？？系,,-25%,^50%,,,Absorb,,,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,,,,,^50%,-25%,,
SS,394,Xenlon,2,Dragon,,,,,,,^50%,Reflect,Reflect,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,395,Munchie,1,Nature,,^50%,,,Absorb,,-25%,Immune,Immune,,,,,Immune,^50%,Immune,Immune,,,-25%,^50%,Immune,,,,,,
SS,396,Nokturnus,1,Demon,Immune,,,^50%,Immune,Immune,,,,,Immune,,,^50%,,-25%,,Immune,Immune,Immune,,,,,,,,
SS,397,Rhapthorne,1,？？？系,,-25%,^50%,,,Absorb,Immune,,,,Immune,,,,,,,-25%,^50%,,,,^50%,,^50%,-25%,,
SS,398,Dark Robot Slime,3,Slime,Immune,,,Immune,^50%,-25%,,Immune,Immune,,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,,-25%,,,,,-25%,^50%,,
SS,399,Drago dimensionale,2,Dragon,,,,,,,^50%,,,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,400,Aquarion,3,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,,^50%,,-25%,,,Immune,,,
SS,401,Estark,3,Material,,,-25%,,,,,,,^50%,Immune,,Immune,Immune,Immune,Immune,^50%,^50%,-25%,,,,,Immune,,,,
SS,402,Rhapthorne II,3,？？？系,,-25%,^50%,,,Absorb,,,,Immune,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,-25%,,,,,^50%,-25%,,
SS,403,Terrore alato,3,Nature,,^50%,,,Absorb,-25%,-25%,,,,Immune,,Immune,Immune,Immune,Immune,Immune,,,^50%,^50%,,,,,,,
SS,404,Malevoleonex,3,？？？系,,-25%,^50%,Immune,,,,,,,Reflect,,Immune,Immune,Immune,Immune,,-25%,^50%,-25%,,,Immune,,^50%,-25%,Immune,
SS,405,Leonex,3,？？？系,Immune,-25%,^50%,,,,,,,,Reflect,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,-25%,,,Immune,^50%,-25%,,
SS,406,Rigor Mortex,3,？？？系,,-25%,^50%,,,Immune,Reflect,,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,-25%,,,,,^50%,-25%,,
SS,407,Magarugi,3,？？？系,,-25%,^50%,,Immune,Immune,,,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,,,,,^50%,-25%,,
SS,408,Corvus,1,？？？系,,-25%,^50%,,Reflect,Reflect,,,,,Immune,,,,,,,-25%,^50%,,,,,,^50%,-25%,,
SS,409,Sire Dragoviano,2,Dragon,,,,,,,^50%,Immune,Immune,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,410,Drago di Zenithia,3,Dragon,,,,,Immune,,^50%,Absorb,Absorb,-25%,Immune,^50%,^50%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
SS,411,Babbuincubo,3,？？？系,,-25%,^50%,Immune,Immune,Immune,,,Immune,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,^50%,,,,,,^50%,-25%,,
SS,412,Lupicche,1,？？？系,,-25%,^50%,,,,,^50%,,,^50%,,^50%,,,^50%,,-25%,^50%,,,,,,^50%,-25%,,^50%
SS,413,Cuordifalco,1,？？？系,^50%,,^50%,^50%,^50%,,^50%,,^50%,,^50%,,-25%,-25%,-25%,-25%,-25%,-25%,^50%,,,,,,^50%,-25%,,
SS,414,Fiorango,1,？？？系,,-25%,^50%,,,,,^50%,,,^50%,,^50%,,,,^50%,-25%,^50%,,,,,,^50%,-25%,^50%,
SS,415,Quadrago,1,？？？系,,-25%,^50%,,,,,,^50%,,^50%,,^50%,^50%,,,,-25%,^50%,,,,,^50%,^50%,-25%,,
SS,416,Lupicche Asso,1,？？？系,,-25%,^50%,,,,,Immune,,,Immune,,Immune,,,Immune,,-25%,^50%,,,,,,^50%,-25%,,Immune
SS,417,Cuordifalco Asso,1,？？？系,Immune,^50%,Immune,Immune,Immune,^50%,Immune,,Immune,,Immune,,-25%,-25%,-25%,-25%,-25%,-25%,^50%,,,,,,,-25%,,
SS,418,Fiorango Asso,1,？？？系,,-25%,^50%,,,,,,Immune,,Immune,,Immune,,,,Immune,-25%,^50%,,,,,,^50%,-25%,Immune,
SS,419,Quadrago Asso,1,？？？系,,-25%,^50%,,,,,,Immune,,Immune,,Immune,Immune,,,,-25%,^50%,,,,,Immune,^50%,-25%,,
SS,420,Asso di picche,1,？？？系,,-25%,^50%,,-25%,Absorb,,Immune,,,Immune,,,,,,,-25%,^50%,,,,,,^50%,-25%,,
SS,421,Joker,1,？？？系,,-25%,^50%,,Absorb,-25%,,Immune,,,-25%,,,,,,Reflect,-25%,^50%,,,,,,^50%,-25%,,Immune
