Grado,#,Mostro,Dim.,Famiglia,PV,PM,Att.,Dif.,Agi.,Int.,Abilità e tratti,,,
SS,412,Lupicche,1,？？？系,800,400,620,780,680,600,Increase Tension,Astuzia del Fulmine,Centro perfetto,Fascino strano
SS,413,Cuordifalco,1,？？？系,820,400,600,780,600,680,Increase Tension,Hit Squad (2),Prima e meglio,Fascino strano
SS,414,Fiorango,1,？？？系,820,400,680,720,600,480,Increase Tension,Ammazzagiganti,Mitico critico,Fascino strano
SS,415,Quadrago,1,？？？系,840,400,680,720,460,600,Increase Tension,Ally Tension Rise,Battimetallo,Fascino strano
SS,416,Lupicche Asso,1,？？？系,800,500,800,900,840,920,Increase Tension,Attacco multiplo,Astuzia del Fulmine,Centro perfetto
SS,417,Cuordifalco Asso,1,？？？系,680,560,500,800,930,860,1-2 Moves,Increase Tension,Prima e meglio,Yellow-Belly
SS,418,Fiorango Asso,1,？？？系,820,510,840,900,760,720,Increase Tension,Hit Squad (3),Ammazzagiganti,Mitico critico
SS,419,Quadrago Asso,1,？？？系,880,540,770,820,640,800,Increase Tension,Hit Squad (2),Ally Tension Rise,Battimetallo
SS,420,Asso di picche,1,？？？系,860,520,800,830,700,780,Attacco multiplo,Guru dell'Elektron,Immediate Fizzle,Magic Barrier
SS,421,Joker,1,？？？系,620,600,1000,1000,920,800,Attacco multiplo,Anticontrattaccante,Onda di sollievo,Protective Fog
